description,class,type,legitibility,faction
The card named Oasis Instinct is a 1 cost shadow spell . The card text says: Summon two 3 dashes. Each is 1 plus Cost.,Priest,Spell,,
"The card named Lie of God is a 1 cost holy spell . The card text says: Give a minion plus 2 dash plus 1. If it dies, summon a 1 dash 1 Deathrattle minion.",Priest,Spell,,
"The card named Blood Tide is a 2 cost holy spell . The card text says: Summon 5 minion with Rush, Draw and Cast a card. (Used every turn!)",Priest,Spell,,
"The card named Destroy is a 1 cost shadow spell , and includes the effects deal damage. The card text says: Deal 2 damage to a minion. If it's a Beast, deal 1 more damage.",Priest,Spell,,
"The card named Refresh is a 4 cost fire spell , and includes the effects deal damage. The card text says: Deal 3 damage to each of your minions. Take two Minion attacks.",Priest,Spell,,
"The card named Fight Off My Name is a 1 cost shadow spell , and includes the effects deal damage. The card text says: Deal 1 damage to all minions but 2 damage to them.",Priest,Spell,,
The card named Pledge of Inamensity is a 10 cost shadow spell . The card text says: Destroy two items that cost (4) or more.,Priest,Spell,,
"The card named Shield of the Warrior is a 4 cost spell . The card text says: Give a minion plus 10 dash plus 5. When drawn, summon a random 2 plus Cost minion.",Priest,Spell,,
The card named Bloodfist is a 4 cost holy spell . The card text says: Add an 8 plus Cost minion to the bottom of your deck.,Priest,Spell,,
"The card named Intoxication is a 3 cost holy spell , and includes the effects deal damage, infuse. The card text says: Deal 8 damage. Infuse (3): Deal 1 damage to a minion. Infuse (3): Deal one more damage...",Priest,Spell,,
The card named Fire's Edge is a 2 cost shadow spell . The card text says: Add a minion to your hand.,Priest,Spell,,
"The card named Sludge Rune is a 4 cost shadow spell , and includes the effects discover. The card text says: Discover a Holy spell. This costs (3) less.",Priest,Spell,,
"The card named Rhythm, Inspire is a 3 cost frost spell . The card text says: Summon four 1 dash 1 Priests with Rush.",Priest,Spell,,
"The card named Shadowscaping is a 3 cost shadow spell , and includes the effects discover. The card text says: Discover a Dragon and Taunt minion. Give it Rush to restore Health.",Priest,Spell,,
The card named Soul Search is a 5 cost shadow spell . The card text says: Switch your Hero Power to 1 plus the Cost of a spell in your deck.,Priest,Spell,,
The card named Divine Shield is a 1 cost holy spell . The card text says: Give a minion plus 3 dash plus 3 and summon an unlimited Dragon. (upgrades every turn.),Priest,Spell,,
"The card named Ascendant's Blood is a 2 cost shadow spell , and includes the effects deal damage, restore health. The card text says: Deal 3 damage to a minion and deal 3 damage. Restore 5 Health to the hero.",Priest,Spell,,
The card named Infuse is a 3 cost shadow spell . The card text says: Destroy your opponents minions and summon some new one.,Priest,Spell,,
The card named Overkill is a 6 cost shadow spell . The card text says: Find a friendly minion. Give it plus 4 Attack this turn.,Priest,Spell,,
The card named Healing and Life is a 1 cost spell . The card text says: Give the minions in your deck plus 3 dash plus 2. Give all minions in your hand plus 2 dash plus 3.,Priest,Spell,,
The card named Pity of Innocence is a 8 cost spell . The card text says: Choose a friendly minion. Throw it out of your deck.,Priest,Spell,,
The card named Soulful Heart is a 2 cost holy spell . The card text says: Summon 2 1 dash 1 Whelps with Taunt. Summon six 5 dash 5 Souls.,Priest,Spell,,
The card named Reclaim the City is a 4 cost holy spell . The card text says: Summon a 5 dash 5 Dragon with Rush. Give your minions plus 3 dash plus 2.,Priest,Spell,,
The card named Glow is a 6 cost shadow spell . The card text says: Add a free minion to your hand.,Priest,Spell,,
"The card named Shatter is a 1 cost shadow spell , and includes the effects secret. The card text says: Secret: When you cast a spell, give your other minions plus 3 Attack.",Priest,Spell,,
"The card named Innocent Enchantment is a 3 cost holy spell , and includes the effects deal damage. The card text says: Deal 3 damage to the enemy hero. Recognize all minions you've dealt this turn.",Priest,Spell,,
"The card named Templar's Infusion is a 1 cost shadow spell , and includes the effects deal damage. The card text says: Deal 1 damage to your hero.",Priest,Spell,,
"The card named Shadow Eyes is a 3 cost shadow spell , and includes the effects discover. The card text says: Discover a 3 plus Cost minion. It cost (1) less.",Priest,Spell,,
The card named Freezing The Lord Is It Hard is a 3 cost shadow spell . The card text says: Give your minions plus 2 Attack this turn. Gain 2 Armor.,Priest,Spell,,
"The card named Shadowlight Shield is a 3 cost holy spell , and includes the effects secret. The card text says: Secret: When a friendly minion attacks, summon a copy of it.",Priest,Spell,,
The card named Brutalization is a 4 cost shadow spell . The card text says: Destroy a minion. Spend at least 2 minutes on it.,Priest,Spell,,
The card named Colossom's Awakenation is a 3 cost holy spell . The card text says: Give the minion plus 2 Attack this turn.,Priest,Spell,,
"The card named Deathmatch is a 2 cost holy spell , and includes the effects deal damage. The card text says: Deal 1 damage to a minion. If it's a Flame, the same amount of damage must also be dealt to the rest of the world.",Priest,Spell,,
"The card named Reward of the Ancient is a 3 cost holy spell . The card text says: Summon an 8 dash 4 Shockwave Whelp with Taunt, then deal 2 damage to each minion.",Priest,Spell,,
"The card named Dreadnought is a 7 cost shadow spell , and includes the effects deal damage. The card text says: Deal 6 damage randomly split among all enemy minions. Summon a random 4 plus Cost minion.",Priest,Spell,,
The card named Worship is a 2 cost shadow spell . The card text says: Give your minions plus 2 Attack for each spell played.,Priest,Spell,,
The card named Bloodshine is a 4 cost shadow spell . The card text says: Draw 3 cards. Costs (3) less for each card you've played this game.,Priest,Spell,,
The card named Forbidden Power is a 0 cost shadow spell . The card text says: Put a random 4 plus Cost minion into your deck.,Priest,Spell,,
"The card named Shadow Shadow is a 2 cost shadow spell , and includes the effects deal damage, deal damage. The card text says: Deal 2 damage. For each minion you control this turn, deal 1 damage to it.",Priest,Spell,,
"The card named Stitcher's Gift is a 3 cost shadow spell , and includes the effects deal damage. The card text says: Deal 8 damage to an enemy minion.",Priest,Spell,,
The card named Doomling's Inception is a 1 cost shadow spell . The card text says: Give your weapon plus 2 dash plus 2. Gain plus 2 Attack each turn.,Priest,Spell,,
"The card named Shrouds of Chaos is a 5 cost shadow spell , and includes the effects secret. The card text says: Secret: Once you cast a spell on a minion, reveal its Cost.",Priest,Spell,,
"The card named Ghoul's Dream is a 3 cost shadow spell , and includes the effects deal damage, discover. The card text says: Discover a spell from another deck that costs (1) less.",Priest,Spell,,
The card named Bloodbomb is a 2 cost spell . The card text says: Give a minion plus 2 dash plus 2 and Draw 2 cards.,Priest,Spell,,
"The card named Denial of All Things is a 3 cost shadow spell . The card text says: Draw 5 cards. When your opponent plays one, give them plus 4 dash plus 3.",Priest,Spell,,
The card named Ascendant of Shadow is a 1 cost shadow spell . The card text says: Your opponent has 6 Mana Crystals. Costs (1) less for each Shadow spell you've cast this game.,Priest,Spell,,
"The card named Unbound Reborn is a 1 cost shadow spell , and includes the effects deal damage. The card text says: Deal 4 damage to all minions. Summon a copy of this.",Priest,Spell,,
"The card named Deception is a 8 cost shadow spell , and includes the effects deal damage. The card text says: Deal 6 damage. Deal 6 damage randomly split among all enemy minions.",Priest,Spell,,
The card named Inventor's Wheel is a 2 cost nature spell . The card text says: Destroy all minions. Your minions have plus 1 Attack.,Priest,Spell,,
"The card named Power of Denial is a 1 cost shadow spell , and includes the effects deal damage. The card text says: Deal 3 damage randomly split among all enemies. When this attacks, draw a card.",Priest,Spell,,
"The card named Rally is a 1 cost arcane spell , and includes the effects deal damage. The card text says: Deal 2 damage. Add a random minion to your hand.",Priest,Spell,,
The card named Overkill is a 6 cost holy spell . The card text says: Give a friendly minion plus 3 Attack and Divine Shield.,Priest,Spell,,
"The card named Color for the Dead is a 2 cost shadow spell , and includes the effects discover. The card text says: Discover a minion. If not your own, summon a copy of it.",Priest,Spell,,
The card named Temptation Is a 6 cost shadow spell . The card text says: Summon two 2 dash 3 Shadows from a 1 dash 1 enemy minion.,Priest,Spell,,
The card named Priests' Shadow is a 3 cost shadow spell . The card text says: Summon two 2 dash 3 Rabbits with a chance to take damage.,Priest,Spell,,
The card named Felwork is a 12 cost spell . The card text says: Destroy a minion (if that is in your hand).,Priest,Spell,,
The card named Slumber to Delight is a 3 cost shadow spell . The card text says: Give a minion plus 4 dash plus 4. Reward: Summon a random Priest.,Priest,Spell,,
"The card named Dark Horse is a 1 cost shadow spell , and includes the effects deal damage. The card text says: Deal 10 damage to all minions. If they die, repeat this.",Priest,Spell,,
"The card named Frozen Fetz is a 1 cost holy spell . The card text says: Give a minion plus 2 dash plus 2. If your deck has no empty seats, add a 1 dash 2 copy of this to your hand.",Priest,Spell,,
"The card named Enemy of the Unbeast is a 2 cost holy spell , and includes the effects discover. The card text says: Discover 5 Priests of the same stat. Give them plus 2 dash plus 2.",Priest,Spell,,
"The card named Soul Diva is a 3 cost shadow spell . The card text says: Summon all 5 random Spirit Destroy minions in your deck. If they've waited too long, gain plus 2 dash plus 1.",Priest,Spell,,
"The card named Blood Reward is a 1 cost holy spell , and includes the effects discover. The card text says: Discover a friendly minion. It costs (2) less for each friendly minion you control.",Priest,Spell,,
"The card named Algo'yrh is a 8 cost minion with 3 health and 4 attack, and includes the effects battlecry. The card text says: Battlecry: If you've cast a spell while holding this, summon two 1 dash 1 Druids",Priest,Minion,3,0
"The card named Aeon, the Splinter is a 8 cost minion with 8 health and 8 attack, and includes the effects kill off. The card text says: Deathrattle: Your card costs (1) less.",Priest,Minion,2,1
The card named Oyster Invader is a 9 cost undead minion with 9 health and 5 attack. The card text says: Your first minion will gain Plus 1 Attack for each spell it has given you this turn.,Priest,Minion,2,1
"The card named Ossilar Baronet is a 6 cost dragon minion with 5 health and 6 attack, and includes the effects deal damage, battlecry. The card text says: Battlecry: Deal 3 damage to a random enemy minion.",Priest,Minion,3,1
"The card named Stuff Thriller is a 4 cost minion with 1 health and 2 attack. The card text says: Myself, gain plus 2 dash plus 2.",Priest,Minion,2,0
"The card named Oveal Knight is a 5 cost elemental minion with 4 health and 5 attack, and includes the effects combo. The card text says: Besides this minion, you gain plus 5 Attack for each other character. Combo: Shuffle the other 1 into your deck.",Priest,Minion,,
"The card named Shadow Recruit is a 2 cost undead minion with 1 health and 2 attack, and includes the effects trigger visual. The card text says: After your hero attacks, give the enemy minions plus 1 Attack.",Priest,Minion,,
"The card named Droidmanipulator is a 3 cost minion with 3 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: Shuffle a copy of this into your deck.",Priest,Minion,,
"The card named Infused Sludgeman is a 3 cost minion with 4 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: Shuffle a spell from your deck into your deck.",Priest,Minion,,
"The card named Acer Mana Priest is a 2 cost minion with 3 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: Add a minion from your deck to the bottom of your deck. Give it plus 2 dash plus 3.",Priest,Minion,,
"The card named Constructor of the Ancient Stones is a 3 cost minion with 5 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: Transform your minions into one that costs (2) less.",Priest,Minion,,
"The card named Bloodlust is a 3 cost minion with 3 health and 1 attack, and includes the effects spellpower, battlecry. The card text says: Spellburst: Summon a copy of this minion.",Priest,Minion,,
"The card named Dragonfuture is a 2 cost beast minion with 2 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: Increase Mana Crystals on any minion and add 'Dear Lord'",Priest,Minion,,
"The card named Shaved Sceptree is a 2 cost minion with 2 health and 2 attack, and includes the effects trigger visual. The card text says: Whenever this attacks, give your other minions plus 1 Attack.",Priest,Minion,,
"The card named Slingbot is a 5 cost minion with 6 health and 4 attack, and includes the effects taunt, battlecry. The card text says: Taunt Battlecry: Shuffle 4 Priests into your deck.",Priest,Minion,,
"The card named St. Mary's Inquisitor is a 8 cost minion with 8 health and 8 attack, and includes the effects battlecry. The card text says: Battlecry: Resurrect all dead and dying minions in your hand.",Priest,Minion,,
"The card named King Slenderman is a 8 cost minion with 4 health and 4 attack, and includes the effects deathrattle, trigger visual. The card text says: Deathrattle: Summon a random Lord who killed the previous game.",Priest,Minion,,
"The card named Efficient Psycopt is a 4 cost shadow minion with 2 health and 3 attack, and includes the effects deal damage, trigger visual. The card text says: After you cast a spell, deal 2 damage to a random enemy minion.",Priest,Minion,,
"The card named Ego Rex is a 1 cost beast minion with 2 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: Summon a copy of each hand of a random friendly minion in your deck.",Priest,Minion,,
"The card named Thermositic Shadowspinner is a 11 cost minion with 8 health and 4 attack, and includes the effects deal damage, battlecry. The card text says: Battlecry: Deal 8 damage to all enemies.",Priest,Minion,,
"The card named Resurrecter is a 4 cost undead minion with 3 health and 4 attack, and includes the effects trigger visual. The card text says: Whenever you summon a small Demon, gain his or her Blood.",Priest,Minion,,
"The card named Dark Windslinger is a 7 cost minion with 5 health and 4 attack, and includes the effects battlecry. The card text says: Battlecry: If you're holding a Card similar to this, draw a card.",Priest,Minion,,
"The card named Gnoshy Servant is a 4 cost minion with 4 health and 4 attack, and includes the effects deathrattle. The card text says: Deathrattle: Set a friendly minion's Attack and Health to 0.",Priest,Minion,,
"The card named Aramco is a 4 cost minion with 3 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: Summon 2 1 dash 3 Cobras. Get three of them.",Priest,Minion,,
"The card named Ghastly Hounslow is a 2 cost beast minion with 3 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: Become a minion. If you control it now, restore its stats.",Priest,Minion,,
"The card named Imprisoned Wraithist is a 7 cost minion with 8 health and 8 attack, and includes the effects battlecry. The card text says: Battlecry: If you have a Weapon, summon a 2 dash 2 Imp.",Priest,Minion,,
"The card named Sultry Frog's Guide is a 2 cost elemental minion with 2 health and 2 attack, and includes the effects trigger visual. The card text says: Whenever you summon a minion, gain plus 2 Attack.",Priest,Minion,,
"The card named Destroying Spirit is a 2 cost minion with 1 health and 4 attack, and includes the effects lifesteal. The card text says: Lifesteal",Priest,Minion,,
"The card named Aspecting Gloomtorch is a 8 cost minion with 9 health and 3 attack, and includes the effects infuse, trigger visual. The card text says: After you cast 2 spells, outcast: At the end of your turn, summon a 5 das",Priest,Minion,,
"The card named Dark Hound is a 3 cost elemental minion with 4 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: If your hero has a Minion, gain plus 2 Attack this turn.",Priest,Minion,,
"The card named Slyther of the Ancients is a 5 cost minion with 6 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: If your hand is empty, summon 4 4 dash 5 Minions from your deck.",Priest,Minion,,
"The card named Afrosoul Mage is a 6 cost minion with 8 health and 6 attack, and includes the effects battlecry, restore health. The card text says: Battlecry: Restore 1 Health to all minions.",Priest,Minion,,
"The card named Pixieshunter is a 2 cost minion with 3 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: If you're holding a Dragon, give a friendly minion plus 1 dash plus 1.",Priest,Minion,,
"The card named Pedol'doro is a 6 cost minion with 7 health and 3 attack, and includes the effects deathrattle, rush, taunt, battlecry. The card text says: Rush. Battlecry: If you've cast a random",Priest,Minion,,
"The card named Sculpin Grasshopper is a 4 cost minion with 4 health and 4 attack, and includes the effects battlecry. The card text says: Battlecry: If you're holding a spell this turn, summon a random Priest.",Priest,Minion,,
"The card named Detours is a 3 cost minion with 4 health and 3 attack, and includes the effects deal damage, trigger visual. The card text says: After your opponent casts a spell, deal 2 damage to the enemy hero.",Priest,Minion,,
"The card named Rogue Stingray is a 4 cost minion with 3 health and 4 attack, and includes the effects trigger visual. The card text says: At the end of your turn, add a Dragon to your hand.",Priest,Minion,,
"The card named Shadowhunter is a 3 cost minion with 4 health and 2 attack, and includes the effects battlecry, restore health. The card text says: Battlecry: Replace your hero's Attack with a random minion's.",Priest,Minion,,
"The card named Devout Psy Cat is a 6 cost minion with 4 health and 4 attack, and includes the effects trigger visual. The card text says: At the start of your turn, remove all other characters that cost (5) or more from your hand.",Priest,Minion,,
"The card named Grootbender is a 3 cost minion with 4 health and 3 attack, and includes the effects battlecry, discover. The card text says: Battlecry: Discover a spell or 3 created by the enemy hero. Battlecry: Discover a new Priest from",Priest,Minion,,
"The card named Soulkeeper is a 4 cost minion with 5 health and 4 attack, and includes the effects taunt, battlecry, discover. The card text says: Taunt Battlecry: Discover a spell (available from other classes). Equip it and summon another.",Priest,Minion,,
"The card named Avatar Slayer is a 1 cost demon minion with 2 health and 3 attack, and includes the effects battlecry, restore health. The card text says: Battlecry Restores 8 Health to the next minion you are giving Attack.",Priest,Minion,,
"The card named Mummy of Storms is a 2 cost minion with 2 health and 0 attack, and includes the effects battlecry. The card text says: Battlecry: Whenever this is in your hand, draw a minion.",Priest,Minion,,
"The card named Fel Mech'Tooth is a 5 cost minion with 6 health and 6 attack, and includes the effects overheal, battlecry. The card text says: Battlecry: You summon a Priest, Beast, or Destroyer.",Priest,Minion,,
The card named Priest-Minions is a 1 cost elemental minion with 3 health and 1 attack. The card text says: Costs (1) less for each minion you control.,Priest,Minion,,
"The card named Infernal Felada is a 3 cost minion with 4 health and 4 attack, and includes the effects battlecry. The card text says: Battlecry: Give an enemy minion plus 2 dash plus 2. If you have a special order, cast",Priest,Minion,,
"The card named Divine Heartbreaker is a 8 cost monster minion with 5 health and 3 attack, and includes the effects battlecry, rush. The card text says: Rush Battlecry: Reconstruct a spell to obtain all Mana Crystals in your deck.",Priest,Minion,,
"The card named Ptathaosus is a 3 cost beast minion with 2 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: Gain plus 2 dash plus 2 for each other friendly Demon you control.",Priest,Minion,,
"The card named Gagatha, the Raven is a 7 cost minion with 8 health and 3 attack, and includes the effects deathrattle. The card text says: Deathrattle: Add an Alternate minion to your hand.",Priest,Minion,,
"The card named Wrangler is a 1 cost minion with 1 health and 1 attack, and includes the effects trigger visual. The card text says: After your hero attacks, draw a card.",Priest,Minion,,
"The card named Mister Elysia is a 10 cost minion with 7 health and 7 attack, and includes the effects deal damage, aura. The card text says: Your Mana Crystals deal damage.",Priest,Minion,,
"The card named Dreadborn Tumbleweed is a 9 cost minion with 6 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: Play a Card from another class.",Priest,Minion,,
"The card named Instructable Embrancher is a 1 cost mech, beast minion with 6 health and 1 attack, and includes the effects battlecry. The card text says: Battlecry: Give your top 3 Priest Cards plus 6 dash plus 6.",Priest,Minion,,
"The card named Cosmic Shadowguard is a 4 cost minion with 4 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: Give a friendly minion plus 2 dash plus 2.",Priest,Minion,,
"The card named Lord-The-Jaw is a 8 cost minion with 3 health and 11 attack, and includes the effects battlecry. The card text says: Battlecry: Resurrect a friendly minion. Cast 'King of Heart'",Priest,Minion,,
"The card named Carnivorous Avocate is a 2 cost beast minion with 2 health and 3 attack, and includes the effects trigger visual. The card text says: At the end of your turn, give your minions plus 1 Attack.",Priest,Minion,,
"The card named Taintling Taintling is a 3 cost minion with 3 health and 4 attack, and includes the effects battlecry. The card text says: Battlecry: Destroy all enemy minions. Discard all enemy minions.",Priest,Minion,,
"The card named Dragoncatcher is a 6 cost minion with 7 health and 1 attack, and includes the effects battlecry. The card text says: Battlecry: If you're holding 5 or more Dragons, summon a minion with 1 Attack while attacking it.",Priest,Minion,,
"The card named Ayas-shan is a 5 cost minion with 5 health and 5 attack. The card text says: Describe a minion's Attack, Attack, and Health in your hand",Priest,Minion,,
"The card named Blood Bloodboar is a 3 cost minion with 3 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: Gain plus 1 dash plus 1 for each other Priest card you've played this game.",Priest,Minion,,
"The card named Shadow Swarmer is a 7 cost minion with 5 health and 5 attack, and includes the effects deal damage, trigger visual. The card text says: At the end of your turn, deal 3 damage to the enemy hero.",Priest,Minion,,
The card named Delightful Sniper is a 6 cost minion with 5-pack and 3 health. The card text says: Each minion dies when drawn.,Priest,Minion,,
"The card named Drayton of the Winds is a 3 cost minion with 1 health and 2 attack, and includes the effects battlecry, discover. The card text says: Battlecry: Discover a card from another class.",Priest,Minion,,
"The card named Eel of Justice is a 5 cost minion with 3 health and 5 attack, and includes the effects deathrattle. The card text says: Deathrattle: Destroy a minion. Destroy a random enemy minion.",Priest,Minion,,
"The card named Squirting Firefuse is a 5 cost minion with 4 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: Give a friendly minion plus 1 Attack every turn your opponent takes damage.",Priest,Minion,,
"The card named Froggoat is a 2 cost undead minion with 2 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: If you control a Secret, transform it into a random one.",Priest,Minion,,
"The card named Alignment of the Dead is a 7 cost beast, undead minion with 9 health and 9 attack, and includes the effects taunt, trigger visual. The card text says: Taunt After your hero attacks, add 3 random minions from your deck to your",Priest,Minion,,
"The card named Dreadful Aranas is a 2 cost undead minion with 2 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: Summon two 2 dash 2 Dreadfuls with Taunt.",Priest,Minion,,
"The card named Loomblade is a 1 cost minion with 1 health and 1 attack, and includes the effects battlecry. The card text says: Battlecry: Gain plus 1 dash plus 1.",Priest,Minion,,
"The card named Mystic Beast is a 5 cost minion with 5 health and 3 attack, and includes the effects taunt. The card text says: Taunt. Return this minion to combat.",Priest,Minion,,
"The card named Drone Slingshot is a 2 cost minion with 2 health and 2 attack, and includes the effects deal damage, battlecry. The card text says: Battlecry: Deal 2 damage to all minions.",Priest,Minion,,
"The card named Priest of Ossipelago is a 7 cost minion with 7 health and 1 attack, and includes the effects taunt, battlecry, restore health. The card text says: Taunt. Battlecry: Restore 5 Health to all minions.",Priest,Minion,,
"The card named Lord Lakota is a 1 cost minion with 2 health and 2 attack, and includes the effects spellpower, battlecry. The card text says: Spellburst: Give your all minions plus 1 dash plus 1.",Priest,Minion,,
"The card named Ptolemy Stablehead is a 4 cost beast minion with 0 health and 3 attack, and includes the effects battlecry. The card text says: Battlecry: When another Beast is attacked, gain plus 4 dash plus 4.",Priest,Minion,,
"The card named Alessios is a 4 cost minion with 3 health and 4 attack, and includes the effects trigger visual. The card text says: After you summon a minion, draw another card.",Priest,Minion,,
"The card named Soulhound Plot is a 4 cost minion with 3 health and 4 attack, and includes the effects taunt, battlecry. The card text says: Taunt Battlecry: Summon six 1 dash 1 Stabs with Taunt.",Priest,Minion,,
"The card named Deer King is a 6 cost minion with 7 health and 2 attack, and includes the effects battlecry. The card text says: Battlecry: Recreate a friendly minion with 10 or less Attack.",Priest,Minion,,
"The card named Whilst the Lord's Priest is a 5 cost minion with 4 health and 5 attack, and includes the effects trigger visual. The card text says: At the start of your turn, gain plus 1 dash plus 1 and Lifesteal.",Priest,Minion,,
"The card named Shadowguard is a 9 cost minion with 6 health and 5 attack, and includes the effects fightcry. The card text says: Battlecry: If you've cast spells while holding this, gain plus 2 dash plus 2.",Priest,Minion,,
