description,faction_code,type,legitibility,faction,henry,sam,eli,viktor,Abraham,"Scoring format
legibility/faction/comedy"
"The card named The Virgo of the Planet (The Virgo of the Planet: Revelation) is a 1 cost asset with the subtypes location. It has an influence requirement of 0. It has a trash cost of 0. The card text says The Virgo of Planet: Whenever your turn starts, if you gain",neutral-corp,asset,0,0,0/0/1,,,,,
The card named Manifold is a 4 cost asset with the subtypes . It has an influence requirement of 0. The card text says You may install this asset from headquarters or headquarters on this asset if you were unable to win a game. Take no more than 1 load of credits from headquarters or headquarters.,neutral-corp,asset,1,0,1/0/0,,,,,
"The card named The Ruckus Trace is a 0 cost asset with the subtypes network. It has an influence requirement of 0. It has a trash cost of 2. The card text says When your turn begins, you may rez 1 card at a time until that point. Gain 2 credits. If successful, you may swipe 1 card from headquarters or another server.",neutral-corp,asset,1,0,1/0/0,,,1/0/1,,
"The card named Xiaoyan is a 3 cost upgrade with the subtypes . It has an influence requirement of 0. It has a trash cost of 3. The card text says When your turn begins, your total cost to steal 2 cards will be increased by 1.",neutral-corp,upgrade,0,0,0/0/0,,,,,
"The card named Oysters was a 2 cost upgrade with the subtypes . It had an influence requirement of 0. It has a trash cost of 5. The card text says Select 2 available cards and discard. When you score this upgrade, you may trash 1 of your installed cards.",neutral-corp,upgrade,0,0,0/0/0,,,,,
The card named Prompis is a 45 cost upgrade with the subtypes security. It has an influence requirement of 0. It has a trash cost of 1. The card text says Subroutine The Corp can draw 1 credit for each card it has. The Corp gains 1 credit for every 5 credits that it has,neutral-corp,upgrade,1,0,1/0/1,,,,,
"The card named Isaqs is a 1 cost upgrade with the subtypes . It has an influence requirement of 0. It has a trash cost of 2. The card text says When you install this upgrade, draw 1 card.",neutral-corp,upgrade,2,0,2/0/0,,,,,
"The card named Flow is a 2 cost upgrade with the subtypes . It has an influence requirement of 0. It has a trash cost of 0. The card text says Whenever you place a runner on Flow, if she is found to have a piece of ice missing, they trash it.",neutral-corp,upgrade,0,0,0/0/0,,,,,
The card named Leyland is a 4 cost upgrade with the subtypes . It has an influence requirement of 0. It has a trash cost of 1. The card text says Place 1 program on Leyland during a run on campus. Trash 1 program at a time. Lose click click: Remove all caches.,neutral-corp,upgrade,0,0,0/0/0,,,,,
"The card named Lattice XL-2 is a 0 cost upgrade with the subtypes . It has an influence requirement of 0. It has a trash cost of 2. The card text says When you encounter this upgrade, gain click. This card is trashed on",neutral-corp,upgrade,2,0,2/0/0,,,,,
"The card named Eamonn is a 50 cost upgrade with the subtypes community. It has an influence requirement of 0. It has a trash cost of 3. The card text says While this card is being played, if an agenda is scored on an agenda, it is trashed. Each",neutral-corp,upgrade,2,0,2/0/1,,,,,
"The card named Idris is a 1 cost upgrade with the subtypes . It has an influence requirement of 0. It has a trash cost of 3. The card text says Subroutine You may install an agenda, delete it, or revoke it. The Corp can only spend 1 credit for this upgrade. click: Subroutine",neutral-corp,upgrade,0,0,0/0/0,,,,,
The card named Avalon is a 0 cost upgrade with the subtypes grayops. It has an influence requirement of 0. It has a trash cost of 0. The card text says Subroutine Resolve 1 of the following. Subroutine Resolve 1 of these,neutral-corp,upgrade,0,0,0/0/0,,,,,
"The card named Defiant is a 2 cost upgrade with the subtypes greyops, . It has an influence requirement of 0. The card text says Subroutine Whenever you rez Defiant, click: Gain 1 credit for each card you installed during that run. Subroutine Whenever you rez Defiant, click:",neutral-corp,upgrade,1,0,1/0/0,,,,,
"The card named Tender Link is a 6 cost upgrade with the subtypes run. It has an influence requirement of 0. It has a trash cost of 0. The card text says Run the program. When the Corp trashes this upgrade, place 1 on it. If it has more than 1 installed program than can be used,",neutral-corp,upgrade,0,0,0/0/0,,,,,
"The card named XC8 is a 1 cost upgrade with the subtypes location. It has an influence requirement of 0. The card text says When you install this upgrade, place 1 power counter on it. When it is complete, trash it. When it is time to purchase this upgrade, click: Encrypt it to XC8",neutral-corp,upgrade,0,0,0/0/1,,,,,
"The card named Tsuiao is a 0 cost upgrade with the subtypes . It has an influence requirement of 0. The card text says Play only if you have at least 2 credits. The Corporations that use the Resource Pool card can accept up to 5 cards from headquarters. During your next turn, the",neutral-corp,upgrade,0,0,0/0/0,,,,,
"The card named Aston Martin is a 3 cost upgrade with the subtypes . It has an influence requirement of 0. The card text says When you install this upgrade, you may install Aston Martin from headquarters or research. If successful, draw 1 card from headquarters or research",neutral-corp,upgrade,2,0,2/0/1,,,,,
"The card named The Message is a 3 cost operation with the subtypes . It has an influence requirement of 0. The card text says When you score The Message, do 1 gross counter damage. This operation costs 1 credit for each program you install that includes 1 canceled check. Trash the top card of all",neutral-corp,operation,0,0,0/0/0,,,,,
The card named Thrill Resolve is a 7 cost operation with the subtypes . It has an influence requirement of 0. It has a trash cost of 2. The card text says Click: Add Thrill Resolve to your basket. Subroutine Use this ability only if the Runner did not take a piece of ice preceding,neutral-corp,operation,0,0,0/0/0,,,,,
"The card named Global Initiative is a 0 cost operation with the subtypes . It has an influence requirement of 0. The card text says This card was not created prior to May 1, 2006. The Corporation spends 8 credits during that time. Each turn, spend 7 credits.",neutral-corp,operation,0,0,0/0/1,,,,,
"The card named Raise a Man is a 1 cost operation with the subtypes codegate. It has an influence requirement of 0. The card text says When you score this operation, gain 1 credit for each run that follows. If lost, gain 1 credit for each run that follows. A Runner gain 1 credit. If lost, regain",neutral-corp,operation,0,0,0/0/0,,,,,
"The card named Sense is a 3 cost operation with the subtypes trap. It has an influence requirement of 0. The card text says click: Access 3 cards on Sense. If not, trash 1 tag. Subroutine Enteigner",neutral-corp,operation,0,0,0/0/0,,,,,
"The card named The Trine is a 0 cost operation with the subtypes condition. It has an influence requirement of 0. The card text says click, click, click, trash: Take 1 card from headquarters.",neutral-corp,operation,0,0,0/0/0,,,,,
"The card named Interrupt is a 5 cost operation with the subtypes . It has an influence requirement of 0. The card text says When your turn begins, take 1 tag.",neutral-corp,operation,1,0,1/0/0,,,,,
The card named Project: Recruiting is a 3 cost operation with the subtypes command. It has an influence requirement of 0. The card text says Gain 1 credit at the end of each run.,neutral-corp,operation,2,0,2/0/0,,,,,
"The card named Recoverio Boost is a 3 cost operation with the subtypes barrier. It has an influence requirement of 0. The card text says Run a research program. If successful, gain 4 credits per turn. The first time each turn your turn you win over your opponent",neutral-corp,operation,0,0,0/0/0,,,,,
"The card named The Enduring Threat is a 7 cost operation with the subtypes contract. It has an influence requirement of 0. It has a trash cost of 0. The card text says When you score this operation, trash 1 card from headquarters. The Corp can trash up to 3 cards from headquarters for each program minus 2",neutral-corp,operation,2,0,2/0/1,,,,,
"The card named Evaluating the Performance of Programs is a 1 cost operation with the subtypes transaction. It has an influence requirement of 0. The card text says The first time each turn you open the Runner's account, you may draw 1 card for each installed card on the Runner's system. Add",neutral-corp,operation,1,0,1/0/1,,,,,
The card named Black Label is a 0 cost operation with the subtypes . It has an influence requirement of 0. The card text says A single player whose total cost is not met is allowed to remove 1 card from headquarters.,neutral-corp,operation,1,0,1/0/0,,,,,
The card named Crash is a 2 cost operation with the subtypes connection. It has an influence requirement of 0. The card text says Play only if the Runner has at least 2 card installed. Subroutine The Runner must pay 1 credit for each installed piece of ice .,neutral-corp,operation,2,0,2/0/0,,,,,
The card named Breakers is a 2 cost operation with the subtypes connection. It has an influence requirement of 0. The card text says Play only if the Runner is tagged.,neutral-corp,operation,2,0,2/0/0,,,,,
"The card named Interrupt is a 2 cost operation with the subtypes . It has an influence requirement of 0. The card text says Install 3 installed programs on Interrupt while the Runner is notified of their turn. If successful, they trash Interrupt.",neutral-corp,operation,1,0,1/0/0,,,,,
The card named Creating Order is a 2 cost operation with the subtypes run. It has an influence requirement of 1. It has a trash cost of 2. The card text says Run the system. Run research at home during research.,neutral-corp,operation,0,0,0/0/0,,,,,
"The card named Trash is a 0 cost operation with the subtypes run. It has an influence requirement of 0. The card text says Run any program. When the Run ends, spend click, run any card. Click, run the Runner. click: Remove all cards,",neutral-corp,operation,,,,,,,,
"The card named XPage is a 5 cost operation with the subtypes . It has an influence requirement of 0. It has a trash cost of 2. The card text says When your turn begins, you may place 1 power counter on XPage to score and one power counter; trash all key cards from your grip. When your turn begins, you may trash 10 power counters.",neutral-corp,operation,,,,,,,,
"The card named Change is a 2 cost operation with the subtypes run. It has an influence requirement of 0. The card text says Run the Runner. If successful, instead of allowing the Runner to access another program, spend",neutral-corp,operation,,,,,,,,
The card named Efficient Encryption is a 4 cost operation with the subtypes . It has an influence requirement of 2. It has a trash cost of 2. The card text says Encryption costs and rezzed memory unitsst accept an installed program or server. Use this ability only when you’ve scored more than 3 cards during a,neutral-corp,operation,,,,,,,,
The card named Breakthrough: Requires 2 credits: Install 4 software updates. It has an influence requirement of 0. The card text says Breakthrough: Remove up to 2 installed DATES!,neutral-corp,operation,,,,,,,,
"The card named Axe on Research is a 2 cost operation with the subtypes task. It has an influence requirement of 0. The card text says In the event of an error, trash this operation. If you do, take 1 tag.",neutral-corp,operation,,,,,,,,
"The card named The Biggest Secret is a 2 cost operation with the subtypes run. It has an influence requirement of 0. The card text says Run this operation without stopping it. When the Corp has an agenda for each of their installed cards, then trash it.",neutral-corp,operation,,,,,,,,
"The card named Breakthrough is a 0 cost operation with the subtypes command. It has an influence requirement of 0. It has a trash cost of 1. The card text says Uninstall, take down 1 installed piece of ice. Click: Disable Subroutines and rez it.",neutral-corp,operation,,,,,,,,
"The card named “Never Do Anything” is a 2 cost operation with the subtypes tracer, chain, deflector, icebreaker. It has an influence requirement of 0. The card text says Whenever you breach this operation, you may place 2 credits on it, including 1 credit for each card you rez, including X credits.",neutral-corp,operation,,,,,,,,
The card named Cannibal Space is a 4 cost 4 strength ice with the subtypes barrier. It has an influence requirement of 0. The card text says Subroutine You need 1 tag: Break 1 tag. Cut 1 tag from the rezzed ice. Use this ability only when you score,neutral-corp,ice,0,0,,,,,,
The card named The Sword: The Animated Empire is a 3 cost 4 strength ice with the subtypes power. It has an influence requirement of 0. The card text says Lose click: Trash 3 card at,neutral-corp,ice,1,0,,,,,,
"The card named Mammut Island is a 4 cost 3 strength ice with the subtypes codegate, barrier. It has an influence requirement of 0. It has a trash cost of 4. The card text says When you install this ice, gain 1 credit. Use this ability only with the help of your",neutral-corp,ice,1,0,,,,,,
"The card named Embryonics is a 4 cost 4 strength ice with the subtypes ambush. It has an influence requirement of 0. The card text says When this ice is trashed, your turn ends. Make no more than 1 charge per charge counter. Subroutine The Runner trashes 1 tag.",neutral-corp,ice,0,0,,,,,,
"The card named Saga is a 1 cost 4 strength ice with the subtypes barrier. It has an influence requirement of 0. The card text says As an additional cost to gain access, waste 1 computer memory units on this ice. Subroutine Decrypt the Core. Decrypt all installed programs.",neutral-corp,ice,0,0,,,,,,
The card named Mafia II: The Great American War is a 9 cost 3 strength ice with the subtypes codegate . It has an influence requirement of 0. The card text says Subroutine Trash 1 barrier card: Subroutine Trash 1 barrier. Subroutine Trash 1 barrier. Subroutine Trash 1 barrier. Subroutine Trash,neutral-corp,ice,,,,,,,,
"The card named Altered Reaction is a 2 cost 5 strength ice with the subtypes codegate, virus. It has an influence requirement of 0. The card text says When the Runner encounters Altered Reaction, if they did, you may use this ability only",neutral-corp,ice,,,,,,,,
The card named Hodder House is a 3 cost 0 strength ice with the subtypes codegate. It has an influence requirement of 0. The card text says Subroutine Lose click: Place 1 of your points on Hodder House. Subroutine Lose click: Remove from the game,neutral-corp,ice,2,0,2/0/1,,,,,
The card named Commodore is a 2 cost 3 strength ice with the subtypes network. It has an influence requirement of 0. The card text says Subroutine Subroutine Subroutine Subroutine Subroutine Sous-routine,neutral-corp,ice,,,,,,,,
"The card named The Rookie is a 3 cost 5 strength ice with the subtypes codegate, chain. It has an influence requirement of 0. The card text says If there is a threat to your computer this turn, gain 1 credit. Subroutine",neutral-corp,ice,,,,,,,,
"The card named Prodigy is a 3 cost 4 strength ice with the subtypes run. It has an influence requirement of 0. The card text says Run check: Whenever the Runner encounters a piece of hardware, steal 1 copy of Prodigy. Subroutine Run check:",neutral-corp,ice,,,,,,,,
"The card named Dracon is a 8 cost 8 strength ice with the subtypes . It has an influence requirement of 0. The card text says When you experience this ice, place 4 power counters on Dracon. Subroutine Trash 10 power counters",neutral-corp,ice,,,,,,,,
"The card named Culpa is a 4 cost 4 strength ice with the subtypes chain. It has an influence requirement of neutral. It has a trash cost of 5. The card text says If the Runner has rezzed and installed Culpa this turn, they trash this ice for the remainder of their turn.",neutral-corp,ice,,,,,,,,
"The card named Inquirant is a 2 cost 2 strength ice with the subtypes codegate, sentry. It has an influence requirement of 0. The card text says When your turn begins, take 1 more turn to take 1 of",neutral-corp,ice,,,,,,,,
"The card named Snazzy is a 3 cost 1 strength ice with the subtypes codegate. It has an influence requirement of 0. The card text says When your turn begins, your turn cost 1 ice cube. Subroutine You may add 1 additional ice cube to this server.",neutral-corp,ice,,,,,,,,
"The card named Tupperware is a 4 cost 0 strength ice with the subtypes barrier. It has an influence requirement of 0. The card text says When the Runner encounters this ice and steals it, enter 1 tag, waste",neutral-corp,ice,,,,,,,,
The card named Resilience System is a 15 cost 6 strength ice with the subtypes barrier. It has an influence requirement of 0. It has a trash cost of 2. The card text says Subroutine Resilience System is not trashed until another recent run ends. Subroutine Resolve 4 . Subroutine Resolve 4 . Subroutine Resolve 2 credits. Subroutine Resolve 4 . Subroutine,neutral-corp,ice,,,,,,,,
"The card named Icy is a 0 cost 4 strength ice with the subtypes codegate, barrier. It has an influence requirement of 0. The card text says Subroutine When your turn begins, take 1 point for each additional ice caused by an encounter. Subroutine Break",neutral-corp,ice,,,,,,,,
"The card named Plot Fence is a 4 cost 4 strength ice with the subtypes network. It has an influence requirement of 0. The card text says Subroutine Scan 1 installed ice. If successful, trash the Runner",neutral-corp,ice,,,,,,,,
"The card named Asylum is a 2 cost 3 strength ice with the subtypes network. It has an influence requirement of 0. The card text says When you score This ice is trashed, grate down 2 credits. Use this ability only if you're tagged.",neutral-corp,ice,,,,,,,,
"The card named Assault is a 3 cost 4 strength ice with the subtypes barrier. It has an influence requirement of 0. It has an influence requirement of 0. The card text says When you score Assault, gain 2 credits.",neutral-corp,ice,,,,,,,,
"The card named Moody was a 3 cost 4 strength ice with the subtypes damage. It had an influence requirement of 0. The card text says When you install this ice, place 1 program on this ice. If you do, trash 1 of your installed systems",neutral-corp,ice,,,,,,,,
The card named Eosine is a 4 cost 6 strength ice with the subtypes path. It has an influence requirement of 0. The card text says Subroutine Subroutine Subroutine Subroutine Cut off 2 tags. Subroutine Cut off 2 tags. Subroutine Cut off 2 tags. Subroutine Cut off 1 tag. Subroutine,neutral-corp,ice,,,,,,,,
The card named The Recipient is a 2 cost 1 strength ice with the subtypes card. It has an influence requirement of 0. The card text says Subroutine End the run. Trash the top 3 cards of your stack. Use this ability only if you have 15 or more rezzed cards. Subroutine End the run.,neutral-corp,ice,,,,,,,,
"The card named Slasher is a 1 cost 7 strength ice with the subtypes runit. It has an influence requirement of 0. The card text says Run as your administrator or draw 2 cards. When this run ends, destroy 1 card from headquarters. When your turn begins, place 1 arc counter onto Slasher.",neutral-corp,ice,,,,,,,,
"The card named Hickman is a 45 deck size identity with the subtypes codegate. It has an influence allotment of 0. The card text says The first time an identity is scored or stolen, take 3 credits. Once you’ve scored more than",neutral-corp,identity,1,0,,,,,,
"The card named New Yorkers is a 21 deck size identity with the subtypes . It has an influence allotment of 0. The card text says When you score this identity, place 1 power counter on New Yorkers. Type Assassin for your next turn.",neutral-corp,identity,0,0,,,,,,
"The card named Rashi is a 45 deck size identity with the subtypes connection. It has an influence allotment of 0. The card text says As an additional cost to play this identity, spend click.",neutral-corp,identity,0,0,,,,,,
The card named FlowMaster is a 64 deck size identity with the subtypes . It has an influence allotment of 0. The card text says Draw 1 card and spend 1 credit. Whenever an agenda is scored or stolen or,neutral-corp,identity,2,0,,,,,,
"The card named Defender is a 0 cost identity with the subtypes connection. It has an influence allotment of 0. It has a trash cost of 0. The card text says While the Runner is accessing an agenda, they rez it. Whenever an agenda is",neutral-corp,identity,1,0,,,,,,
"The card named Erossin is a 40 deck size identity with the subtypes . It has an influence allotment of 0. The card text says When you complete Erossin, you may place 1 tag underneath Erossin.",neutral-corp,identity,,,,,,,,
The card named Ismaq Recruiter is a 35 deck size identity with the subtypes kodak. It has an influence allotment of 0. The card text says Subroutine Kill 1 virus. Subroutine Kill 1 virus. Subroutine Obstruate,neutral-corp,identity,,,,,,,,
"The card named Cairns Island House is a 45 deck size identity with the subtypes nation, corporation. It has an influence allotment of 0. The card text says Gain 3 credits.",neutral-corp,identity,,,,,,,,
"The card named SSI is a 45 deck size identity with the subtypes . It has an influence allotment of 0. The card text says When your turn begins, find a server that has SSI. Once found, reveal it.",neutral-corp,identity,,,,,,,,
The card named The Invisible Room is a 5 advancement identity worth 2 points with the subtypes corporation. It has an influence allotment of 0. The card text says Take 1 installed identity or gain 1 credit.,neutral-corp,identity,0,0,,0/0/0,,,,
"The card named Assassinate is a 2 advancement agenda worth 2 points with the subtypes advancement. It has an influence requirement of 0. The card text says When you score Assassinate Assassinate, your intent is reinforced by 1 added charge.",jinteki,agenda,0,0,,0/0/0,,0/0/0,,
"The card named Resilience is a 4 advancement agenda worth 1 points with the subtypes research. It has an influence requirement of 0. It has a trash cost of 11. The card text says Once the Runner has spent 1 credit with Research, place 1 agenda counter on Resilience.",jinteki,agenda,0,0,,0/0/0,,,,
"The card named Resilience is a 6 advancement agenda worth 2 points with the subtypes . It has an influence requirement of 3. The card text says When you install this agenda, you may activate a card from headquarters during that run. When you do, instead of granting it, gain 1 credit. Subroutine",jinteki,agenda,,,,,,,,
"The card named ""Cosmic Transformation"" is a 23 advancement agenda worth 3 points with the subtypes security. It has an influence requirement of 2. It has a trash cost of 4. The card text says When you score this agenda, gain 4 credits.",jinteki,agenda,2,0,,2/0/1,,2/0/1,,
The card named Research and Development is a 3 advancement agenda worth 1 points with the subtypes research. It has an influence requirement of 1. The card text says Subroutines This agenda loses 1 strength and can be upgraded by adding 1 tag. If your,jinteki,agenda,0,0,,,,0/0/0,,
"The card named Matsuo Kai is a 3 advancement agenda worth 2 points with the subtypes security. It has an influence requirement of 2. The card text says As an additional cost to gain credit, spending credits costs if you have",jinteki,agenda,,,,,,,,
"The card named Organize India: Research Excellence is a 4 advancement agenda worth 1 points with the subtypes research. It has an influence requirement of 3. The card text says Whenever the Corp spends any amount of space on Research Excellence, gain 2. If the Corp has 3 or more credits, when the Runner gains",jinteki,agenda,,,,,,,,
"The card named Adafruit Foundation is a 4 advancement agenda worth 2 points with the subtypes promotion. It has an influence requirement of 1. The card text says When you score Adafruit Foundation, place 1 agenda counter on it. Whenever a card holder breaches a program you",jinteki,agenda,,,,,,,,
"The card named A.M. Tsuki: The Secret World is a 6 advancement agenda worth 6 points with the subtypes community. It has an influence requirement of 3. The card text says To play this agenda, you must have at least 1 credit for each of the following: Do not trash a card during your turn. You may gain 1, then",jinteki,agenda,,,,,,,,
"The card named Mama is a 3 advancement agenda worth 1 points with the subtypes . It has an influence requirement of 1. It has a trash cost of 4. The card text says When you install this agenda, add 2 credits. If the Runner doesn’t,",jinteki,agenda,,,,,,,,
The card named Effort Zero is a 2 advancement agenda worth 2 points with the subtypes research. It has an influence requirement of 0. The card text says This agenda gains 1 credit for each of the next 2 power counters on this agenda on Effort Zero each turn.,jinteki,agenda,,,,,,,,
"The card named Defiant the War on Drugs is a 3 advancement agenda worth 1 points with the subtypes . It has an influence requirement of 2. The card text says When you score Defiant Defiant the War on Drugs, gain click click.",jinteki,agenda,3,0,,,,3/0/1,,
